Date,RF
2010-01-08,1e-05
2010-01-15,1e-05
2010-01-22,1e-05
2010-01-29,1e-05
2010-02-05,0.0
2010-02-12,0.0
2010-02-19,0.0
2010-02-26,0.0
2010-03-05,2e-05
2010-03-12,2e-05
2010-03-19,2e-05
2010-03-26,2e-05
2010-04-01,3e-05
2010-04-09,3e-05
2010-04-16,3e-05
2010-04-23,3e-05
2010-04-30,3e-05
2010-05-07,3e-05
2010-05-14,3e-05
2010-05-21,3e-05
2010-05-28,3e-05
2010-06-04,3e-05
2010-06-11,3e-05
2010-06-18,3e-05
2010-06-25,3e-05
2010-07-02,4e-05
2010-07-09,4e-05
2010-07-16,4e-05
2010-07-23,4e-05
2010-07-30,4e-05
2010-08-06,3e-05
2010-08-13,3e-05
2010-08-20,3e-05
2010-08-27,3e-05
2010-09-03,3e-05
2010-09-10,3e-05
2010-09-17,3e-05
2010-09-24,3e-05
2010-10-01,3e-05
2010-10-08,3e-05
2010-10-15,3e-05
2010-10-22,3e-05
2010-10-29,3e-05
2010-11-05,3e-05
2010-11-12,3e-05
2010-11-19,3e-05
2010-11-26,3e-05
2010-12-03,3e-05
2010-12-10,3e-05
2010-12-17,3e-05
2010-12-23,3e-05
2010-12-31,3e-05
2011-01-07,2e-05
2011-01-14,2e-05
2011-01-21,2e-05
2011-01-28,2e-05
2011-02-04,3e-05
2011-02-11,3e-05
2011-02-18,3e-05
2011-02-25,3e-05
2011-03-04,2e-05
2011-03-11,2e-05
2011-03-18,2e-05
2011-03-25,2e-05
2011-04-01,1e-05
2011-04-08,1e-05
2011-04-15,1e-05
2011-04-21,1e-05
2011-04-29,1e-05
2011-05-06,0.0
2011-05-13,0.0
2011-05-20,0.0
2011-05-27,0.0
2011-06-03,1e-05
2011-06-10,1e-05
2011-06-17,1e-05
2011-06-24,1e-05
2011-07-01,-1e-05
2011-07-08,-1e-05
2011-07-15,-1e-05
2011-07-22,-1e-05
2011-07-29,-1e-05
2011-08-05,2e-05
2011-08-12,2e-05
2011-08-19,2e-05
2011-08-26,2e-05
2011-09-02,0.0
2011-09-09,0.0
2011-09-16,0.0
2011-09-23,0.0
2011-09-30,0.0
2011-10-07,0.0
2011-10-14,0.0
2011-10-21,0.0
2011-10-28,0.0
2011-11-04,0.0
2011-11-11,0.0
2011-11-18,0.0
2011-11-25,0.0
2011-12-02,0.0
2011-12-09,0.0
2011-12-16,0.0
2011-12-23,0.0
2011-12-30,0.0
2012-01-06,0.0
2012-01-13,0.0
2012-01-20,0.0
2012-01-27,0.0
2012-02-03,1e-05
2012-02-10,1e-05
2012-02-17,1e-05
2012-02-24,1e-05
2012-03-02,1e-05
2012-03-09,1e-05
2012-03-16,1e-05
2012-03-23,1e-05
2012-03-30,1e-05
2012-04-05,1e-05
